gene_id	synonym
LOC110469058	SIM2_0
LOC110469059	SIM2_1
LOC110469069	LOC110469069
LOC110469072	LOC110469072
LOC110469073	LOC110469073
LOC110469074	LOC110469074
LOC110469075	MORC3_1
LOC110469209	LOC110469209
LOC110469218	H4-VIII_0
LOC110469222	LOC110469222
LOC110471599	LOC110471599
LOC110471617	LOC110471617
LOC110471621	LOC110471621
LOC110474871	LOC110474871
LOC110474872	MAOA
LOC110474874	MAO
LOC110474923	LOC110474923
LOC110474925	IL10RB
LOC110474926	LOC110474926
LOC110474927	OLIG2
LOC110474931	OR51E2
LOC110474932	LOC110474932
LOC110474951	LOC110474951
LOC110474952	LOC110474952
LOC110474953	LOC110474953
LOC110474956	FBXW7
LOC110474961	LOC110474961
LOC110474963	LOC110474963
LOC110474965	LOC110474965
LOC110474966	FOLR1_1
LOC110474967	LOC110474967
LOC110475373	CBR1
LOC110475681	VTCN1_1
LOC110475683	LOC110475683
LOC110475695	LOC110475695
LOC110475696	LOC110475696
LOC110475863	TFF2
LOC110475866	MX
LOC110475876	SLC37A1
LOC110479109	LOC110479109
LOC110479229	LOC110479229
LOC110479231	GART_0
LOC110479434	LOC110479434
LOC110479435	CBS_1
LOC110479436	LOC110479436
LOC110479438	LOC110479438
LOC110482929	LOC110482929
LOC110482930	LOC110482930
LOC110483221	CYBB
LOC110483226	SLC51A
LOC110483230	LOC110483230
LOC110483233	LOC110483233
LOC110483237	LOC110483237
LOC110483240	LOC110483240
LOC110483256	LOC110483256
LOC110483259	LOC110483259
LOC110483263	LOC110483263
LOC110483264	LOC110483264
LOC110483267	LOC110483267
LOC110483274	LOC110483274
LOC110483275	LOC110483275
LOC110483278	LOC110483278
LOC110483284	LOC110483284
LOC110483287	LOC110483287
LOC110483332	LOC110483332
LOC110483334	LOC110483334
LOC110483545	SLC37A1_0
LOC110483546	LOC110483546
LOC116183152	LOC116183152
LOC116183193	LOC116183193
LOC116183201	LOC116183201
LOC116184236	LOC116184236
LOC116184248	LOC116184248
LOC116184251	LOC116184251
LOC116184253	LOC116184253
LOC116184254	LOC116184254
LOC116184257	LOC116184257
LOC116184259	LOC116184259
LOC116184264	LOC116184264
LOC116184265	LOC116184265
LOC116184268	LOC116184268
LOC116184269	LOC116184269
LOC116184270	LOC116184270
LOC116184336	LOC116184336
LOC116184337	LOC116184337
LOC116184347	LOC116184347
LOC116184382	LOC116184382
LOC116184550	LOC116184550
LOC116184559	LOC116184559
LOC116184561	LOC116184561
LOC116184563	LOC116184563
LOC116184609	LOC116184609
LOC116184636	LOC116184636
LOC116184807	LOC116184807
LOC116184808	LOC116184808
LOC116184811	LOC116184811
LOC116184816	LOC116184816
LOC116184829	LOC116184829
LOC116184830	LOC116184830
LOC116184831	LOC116184831
LOC110468107	LOC110468107
LOC110468113	LOC110468113
LOC110469210	LOC110469210
LOC110469211	LOC110469211
LOC110470527	ERCC5
LOC110470529	METTL21E
LOC110470538	LOC110470538
LOC110470546	LOC110470546
LOC110470549	GPR183_0
LOC110470552	LOC110470552
LOC110470570	GPR183_1
LOC110470572	LOC110470572
LOC110470573	OXGR1
LOC110470575	LOC110470575
LOC110470577	LOC110470577
LOC110470578	LOC110470578
LOC110470582	LOC110470582
LOC110470757	LOC110470757
LOC110470765	C1QTNF9
LOC110470766	LOC110470766
LOC110474635	LOC110474635
LOC110474662	LOC110474662
LOC110474669	LOC110474669
LOC110474672	LOC110474672
LOC110474673	LOC110474673
LOC110474680	LOC110474680
LOC110474715	IL1RL2
LOC110474740	IL1R1
LOC110474783	LOC110474783
LOC110474856	LOC110474856
LOC110474859	LOC110474859
LOC110474900	LOC110474900
LOC110474977	LOC110474977
LOC110475656	GJB6
LOC110476703	LOC110476703
LOC110476710	LOC110476710
LOC110476719	LOC110476719
LOC110476733	LOC110476733
LOC110476747	LOC110476747
LOC110476751	LOC110476751
LOC110476752	LOC110476752
LOC110476757	LOC110476757
LOC110476762	LOC110476762
LOC110478727	OPSP_0
LOC110478739	LOC110478739
LOC110478744	F7
LOC110478774	RANBP2
LOC110479346	ARSD_0
LOC110479348	LOC110479348
LOC110479363	LOC110479363
LOC110479365	LOC110479365
LOC110479374	LOC110479374
LOC110479378	LYG
LOC110479384	LOC110479384
LOC110479386	CSF2RA_1
LOC110479387	LOC110479387
LOC110479388	ARSD_1
LOC110479391	FNDC9
LOC110479393	CSF2RA_0
LOC110479395	STAG2
LOC110479399	COA5
LOC110479403	LOC110479403
LOC110479409	LOC110479409
LOC116183207	LOC116183207
LOC116183212	LOC116183212
LOC116183219	LOC116183219
LOC116183221	LOC116183221
LOC116183222	LOC116183222
LOC116183241	LOC116183241
LOC116183242	LOC116183242
LOC116183245	LOC116183245
LOC116183254	LOC116183254
LOC116183262	LOC116183262
LOC116183276	LOC116183276
LOC116183372	LOC116183372
LOC116183375	LOC116183375
LOC116183387	LOC116183387
LOC116183400	LOC116183400
LOC116183409	LOC116183409
LOC116183414	LOC116183414
LOC116183426	LOC116183426
LOC116183427	LOC116183427
LOC116183754	LOC116183754
LOC116184275	LOC116184275
LOC116184276	LOC116184276
LOC116184277	LOC116184277
LOC116184282	LOC116184282
LOC116184290	LOC116184290
LOC116184291	LOC116184291
LOC116184292	LOC116184292
LOC116184295	LOC116184295
LOC116184296	LOC116184296
LOC116184297	LOC116184297
LOC116184298	LOC116184298
LOC116184300	LOC116184300
LOC116184302	LOC116184302
LOC116184335	LOC116184335
LOC116184351	LOC116184351
LOC116184356	LOC116184356
LOC116184358	LOC116184358
LOC110468563	LOC110468563
LOC110468564	LOC110468564
LOC110468568	LOC110468568
LOC110468582	C4
LOC110468592	FGL1_2
LOC110468593	TPTE
LOC110468595	LOC110468595
LOC110469558	RCBTB2
LOC110469566	LOC110469566
LOC110469585	PHF11
LOC110470011	LOC110470011
LOC110470015	ITA
LOC110470021	LOC110470021
LOC110470027	LOC110470027
LOC110470043	LOC110470043
LOC110470046	NPAT
LOC110470053	LOC110470053
LOC110470054	LOC110470054
LOC110470055	LOC110470055
LOC110470056	MMP13
LOC110470062	LOC110470062
LOC110470063	LOC110470063
LOC110470850	LOC110470850
LOC110470852	LOC110470852
LOC110470853	LOC110470853
LOC110470887	LOC110470887
LOC110472298	NDUFC2
LOC110472329	OVOS_1
LOC110472330	OVOS_0
LOC110472346	LRRC32
LOC110473572	LOC110473572
LOC110473577	TMEM126A
LOC110473741	LOC110473741
LOC110473742	LOC110473742
LOC110473743	LOC110473743
LOC110473744	CEP57_0
LOC110475073	LOC110475073
LOC110475074	LOC110475074
LOC110475075	LOC110475075
LOC110476715	LOC110476715
LOC110476729	LOC110476729
LOC110478386	TM4SF1_1
LOC110478387	SLC5A7
LOC110478393	LOC110478393
LOC110478409	CEP57_1
LOC110478412	FOLH1
LOC110478414	NAALAD2
LOC110480222	LOC110480222
LOC110480227	LOC110480227
LOC110480228	D10JHU81E
LOC110480237	LOC110480237
LOC116183560	LOC116183560
LOC116183594	LOC116183594
LOC116183595	LOC116183595
LOC116183600	LOC116183600
LOC116183601	LOC116183601
LOC116183605	LOC116183605
LOC116183610	LOC116183610
LOC116183623	LOC116183623
LOC116183637	LOC116183637
LOC116183648	LOC116183648
LOC116183649	LOC116183649
LOC116183654	LOC116183654
LOC116183655	LOC116183655
LOC116183656	LOC116183656
LOC116183657	LOC116183657
LOC116183701	LOC116183701
LOC116183705	LOC116183705
LOC116183708	LOC116183708
LOC116183716	LOC116183716
LOC116183737	LOC116183737
LOC116183738	LOC116183738
LOC116183739	LOC116183739
LOC116183745	LOC116183745
LOC116183756	LOC116183756
LOC116183796	LOC116183796
LOC116184187	LOC116184187
LOC116184197	LOC116184197
LOC116184198	LOC116184198
LOC116184309	LOC116184309
LOC116184311	LOC116184311
LOC116184314	LOC116184314
LOC116184318	LOC116184318
LOC116184329	LOC116184329
LOC116184330	LOC116184330
LOC116184331	LOC116184331
LOC116184332	LOC116184332
LOC116184333	LOC116184333
LOC116184338	LOC116184338
LOC116184339	LOC116184339
LOC116184340	LOC116184340
LOC116184341	LOC116184341
LOC116184342	LOC116184342
LOC116184344	LOC116184344
LOC116184346	LOC116184346
LOC116184350	LOC116184350
LOC116184352	LOC116184352
LOC116184353	LOC116184353
LOC116184357	LOC116184357
LOC116184481	LOC116184481
LOC110471625	LOC110471625
LOC110472320	SLC2A3
LOC110472322	LOC110472322
LOC110472324	A2ML1_3
LOC110472325	A2ML1_0
LOC110472349	NANOG_1
LOC110472350	NANOG_0
LOC110472351	APOBEC1
LOC110472354	A2ML1_5
LOC110472355	A2ML1_1
LOC110472356	A2M_1
LOC110475177	LOC110475177
LOC110475178	LOC110475178
LOC110476341	LOC110476341
LOC110476345	LOC110476345
LOC110476352	LOC110476352
LOC110476452	LOC110476452
LOC110476518	CD80
LOC110476560	LOC110476560
LOC110476583	LOC110476583
LOC110476587	LOC110476587
LOC110476590	LOC110476590
LOC110476594	LOC110476594
LOC110476601	LOC110476601
LOC110476607	LOC110476607
LOC110476613	LOC110476613
LOC110476647	LOC110476647
LOC110480162	LOC110480162
LOC110480163	LOC110480163
LOC110480542	LOC110480542
LOC110480694	LOC110480694
LOC110480699	COX17
LOC110480705	B3GAT1_0
